"Celebrity","Pay","Power_ranking"
"Tom Cruise",67,1
"Rolling Stones",90,2
"Oprah Winfrey",225,3
"U2",110,4
"Tiger Woods",90,5
"Steven Spielberg",332,6
"Howard Stern",302,7
"50 Cent",41,8
"Cast of the Sopranos",52,9
"Dan Brown",88,10
" Bruce Springsteen",55,11
"Donald Trump",44,12
"Muhammad Ali",55,13
"Paul McCartney",40,14
"George Lucas",233,15
"Elton John",34,16
"David Letterman",40,17
"Phil Mickelson",47,18
"J.K Rowling",90,15
"Brad Pitt",25,20
"Peter Jackson",39,21
"Dr. Phil McGraw",45,22
"Jay Lenon",32,23
"Celine Dion",40,24
"Kobe Bryant",31,25
